Date,Open,High,Low,Close,Adj Close,Volume
2024-02-07,120.010002,124.995003,120.000000,124.980003,124.093658,18172529
2024-02-08,127.000000,134.750000,126.110001,133.729996,132.781586,33367010
2024-02-09,134.500000,135.169998,130.589996,133.110001,132.166000,16984174
2024-02-12,133.270004,133.509995,130.259995,130.460007,129.534790,14203766
2024-02-13,127.930000,129.919998,126.474998,127.550003,126.645432,14493976
2024-02-14,129.630005,130.789993,127.959999,129.270004,128.353241,13069689
2024-02-15,130.800003,131.130005,128.350006,129.029999,128.114929,12553979
2024-02-16,127.129997,128.639999,125.809998,126.690002,125.791527,13104415
2024-02-20,126.889999,127.059998,124.144997,125.330002,124.441170,12038783
2024-02-21,124.430000,125.379997,122.910004,125.339996,124.451096,11578140
2024-02-22,129.690002,131.479996,129.000000,129.070007,128.154663,17014124
2024-02-23,130.500000,131.005005,127.730003,129.529999,128.611389,10123345
2024-02-26,130.020004,131.229996,128.559998,130.639999,129.713501,9526723
2024-02-27,130.770004,131.970001,128.589996,128.589996,127.678055,8851789
2024-02-28,128.500000,128.580002,126.650002,127.379997,126.476631,6519095
2024-02-29,128.029999,129.189896,127.150002,128.669998,127.757477,9369902
2024-03-01,130.130005,136.649994,130.100006,133.899994,132.950394,24393047
2024-03-04,139.940002,141.990005,137.679993,138.259995,137.279465,26544607
2024-03-05,137.119995,137.429993,133.729996,134.970001,134.012817,13694693
2024-03-06,138.800003,144.000000,138.611496,141.570007,140.566010,22292689
2024-03-07,144.899994,151.600006,144.149994,149.199997,148.141891,34675734
2024-03-08,153.899994,158.399994,144.925003,146.369995,145.331955,43856881
2024-03-11,143.619995,144.399994,138.929993,139.020004,138.034088,29227113
2024-03-12,144.520004,146.699997,140.570007,144.399994,143.375931,21218495
2024-03-13,143.050003,143.229996,141.369995,142.139999,141.131958,12923058
2024-03-14,142.610001,143.100006,139.020004,139.619995,138.629837,14961903
2024-03-15,135.440002,137.699997,134.630005,136.979996,136.008560,22751213
2024-03-18,140.179993,141.539993,136.610001,136.639999,136.213501,14732899
2024-03-19,135.300003,136.273102,133.029999,134.869995,134.449020,17341128
2024-03-20,136.529999,137.309998,135.009995,136.750000,136.323166,12750230
2024-03-21,142.550003,142.600006,139.039993,139.449997,139.014725,17809393
2024-03-22,139.399994,141.339996,139.110001,140.539993,140.101318,9944135
2024-03-25,140.160004,141.679993,139.259995,140.229996,139.792297,9922244
2024-03-26,140.610001,140.960007,138.639999,138.839996,138.406631,10786446
2024-03-27,138.860001,139.279999,135.149994,136.690002,136.263351,13842815
2024-03-28,135.679993,136.800003,135.440002,136.050003,135.625351,10019364
2024-04-01,137.289993,142.960007,137.050003,141.490005,141.048370,14222662
2024-04-02,140.380005,141.039993,139.350006,140.220001,139.782333,9869172
2024-04-03,138.580002,142.929993,138.389999,142.000000,141.556778,9707518
2024-04-04,144.000000,146.750000,139.429993,139.660004,139.224075,15759510
2024-04-05,140.000000,142.000000,138.919998,141.360001,140.918777,8263641
2024-04-08,145.240005,146.000000,142.759995,142.789993,142.344299,16307401
2024-04-09,146.259995,148.169907,142.949997,145.399994,144.946152,18487980
2024-04-10,146.630005,148.429993,145.259995,146.220001,145.763596,18861324
2024-04-11,147.199997,147.559998,144.130005,147.199997,146.740540,11818761
2024-04-12,145.000000,146.509995,142.149994,142.520004,142.075150,12024043
2024-04-15,145.020004,145.479996,139.880096,140.139999,139.702576,13458780
2024-04-16,137.889999,140.539902,137.059998,139.800003,139.363647,14218222
2024-04-17,141.130005,142.570007,137.360107,139.029999,138.596039,18823237
2024-04-18,132.889999,135.130005,130.300003,132.270004,131.857147,39306149
2024-04-19,129.369995,131.550003,126.639999,127.699997,127.301407,28284021
2024-04-22,126.750000,130.660599,125.779999,129.750000,129.345016,18556792
2024-04-23,131.360001,133.710007,130.660004,133.429993,133.013519,12573756
2024-04-24,136.089996,136.289993,131.539993,132.970001,132.554962,15558000
2024-04-25,130.000000,137.839996,128.860001,136.580002,136.153687,18034257
2024-04-26,136.809998,138.739899,135.945007,138.300003,137.868332,9453393
2024-04-29,138.000000,138.645996,135.910004,138.500000,138.067703,10025907
2024-04-30,137.940002,139.699997,137.259995,137.339996,136.911316,10980630
2024-05-01,137.419998,139.429993,133.210007,134.940002,134.518814,12573480
2024-05-02,135.600006,136.740005,133.220001,136.229996,135.804779,9261896
2024-05-03,138.899994,142.110001,138.759995,141.559998,141.118149,13264336
2024-05-06,140.470001,142.830002,139.809998,142.830002,142.384186,8601573
2024-05-07,141.869995,142.294998,140.509995,141.110001,140.669556,8682941
2024-05-08,141.110001,144.259995,140.800003,143.600006,143.151779,10202348
2024-05-09,142.940002,143.350006,141.130096,142.789993,142.344299,8012668
2024-05-10,147.220001,150.494995,146.929993,149.259995,148.794113,23671378
2024-05-13,148.020004,148.440002,146.300003,146.410004,145.953018,8278732
2024-05-14,146.490005,152.009995,146.250000,151.949997,151.475708,12316540
2024-05-15,153.360001,156.000000,152.729996,155.580002,155.094391,14027093
2024-05-16,154.100006,155.054993,152.210007,152.229996,151.754837,13394140
2024-05-17,154.000000,154.000000,150.839996,151.679993,151.206558,7711247
2024-05-20,151.669998,154.240005,150.820007,153.550003,153.070724,9261190
2024-05-21,152.300003,153.990005,151.949997,153.669998,153.190338,7919449
2024-05-22,155.880005,157.229996,154.540100,156.149994,155.662598,13455201
2024-05-23,159.179993,160.779907,155.865005,157.089996,156.599670,20872972
2024-05-24,157.199997,160.660004,156.710007,160.000000,159.500595,11908211
2024-05-28,159.679993,160.380005,157.600006,159.410004,158.912430,13964361
2024-05-29,156.750000,156.880005,153.210007,154.339996,153.858246,15779980
2024-05-30,153.589996,154.050003,151.889999,152.960007,152.482574,9710978
2024-05-31,151.479996,152.500000,147.809998,151.039993,150.568542,13782609
2024-06-03,155.119995,157.149994,152.460205,154.949997,154.466354,12924395
2024-06-04,153.399994,153.789993,150.990005,152.470001,151.994095,10066743
2024-06-05,158.589996,163.729996,157.949997,162.919998,162.411469,23192572
2024-06-06,164.520004,164.699997,160.360001,162.070007,161.564133,14819056
2024-06-07,163.570007,166.119904,161.960007,164.389999,163.876892,14023335
2024-06-10,164.000000,169.839996,162.415604,168.160004,167.635117,12438405
2024-06-11,168.179993,168.404999,163.789993,165.710007,165.192780,11508574
2024-06-12,173.360001,176.059998,171.535004,172.979996,172.440063,20309502
2024-06-13,172.949997,174.070007,170.509995,172.910004,172.910004,15591789
2024-06-14,172.000000,173.639999,170.360001,172.509995,172.509995,9192483
2024-06-17,177.839996,178.669998,173.479996,177.240005,177.240005,18593708
2024-06-18,180.020004,184.860001,178.990005,179.690002,179.690002,27155146
2024-06-20,182.580002,183.174606,173.500000,175.380005,175.380005,28403222
2024-06-21,172.710007,177.479996,172.210007,173.960007,173.960007,20271302
2024-06-24,170.429993,171.419998,167.121002,167.809998,167.809998,19741664
2024-06-25,169.949997,172.639999,169.009995,172.600006,172.600006,13480972
2024-06-26,172.119995,173.690002,170.199997,172.070007,172.070007,11901499
2024-06-27,173.789993,175.479996,171.149994,171.630005,171.630005,10864584
2024-06-28,172.809998,176.819901,172.809998,173.809998,173.809998,11216068
2024-07-01,174.240005,175.300003,170.449997,172.330002,172.330002,10716975
2024-07-02,171.130005,176.710007,171.029999,175.699997,175.699997,10655486
2024-07-03,177.990005,182.490005,177.880005,182.490005,182.490005,11808737
2024-07-05,184.139999,185.080002,182.300003,183.990005,183.990005,11372882
2024-07-08,190.000000,192.800003,185.130005,186.630005,186.630005,22582402
2024-07-09,188.089996,188.440002,182.500000,184.520004,184.520004,19972038
2024-07-10,188.279999,191.419998,186.699997,191.050003,191.050003,19293520
2024-07-11,193.089996,193.470001,183.009995,184.500000,184.500000,21584170
2024-07-12,183.070007,190.380005,182.750000,187.350006,187.350006,17994135
2024-07-15,188.679993,190.059998,184.080002,185.220001,185.220001,15683114
2024-07-16,188.270004,189.589996,185.020004,186.039993,186.039993,15624873
2024-07-17,175.214996,176.580002,170.509995,171.199997,171.199997,41334921
